1 I 0 80000
2 P 200 64000
3 B 400 32000
4 P 600 64000
5 B 800 32000
6 P 1000 64000
7 B 1200 32000
8 B 1400 32000
9 P 1600 64000
10 B 1800 32000
11 B 2000 32000
12 P 2200 64000
13 B 2400 32000
14 B 2600 32000
15 P 2800 64000
16 B 3000 32000
17 I 3200 80000
18 P 3400 64000
19 B 3600 32000
20 P 3800 64000
21 B 4000 32000
22 P 4200 64000
23 B 4400 32000
24 B 4600 32000
25 P 4800 64000
26 B 5000 32000
27 I 5200 80000
28 P 5400 64000
29 B 5600 32000
30 P 5800 64000
31 B 6000 32000
32 P 6200 64000
33 B 6400 32000
34 B 6600 32000
35 P 6800 64000
36 B 7000 32000
37 B 7200 32000
38 P 7400 64000
39 B 7600 32000
40 B 7800 32000
41 P 8000 64000
42 B 8200 32000
43 I 8400 80000
44 P 8600 64000
45 B 8800 32000
46 P 9000 64000
47 B 9200 32000
48 P 9400 64000
49 B 9600 32000
50 B 9800 32000
51 P 10000 64000
52 B 10200 32000
53 I 10400 80000
54 P 10600 64000
55 B 10800 32000
56 P 11000 64000
57 B 11200 32000
58 P 11400 64000
59 B 11600 32000
60 B 11800 32000
61 P 12000 64000
62 B 12200 32000
63 B 12400 32000
64 P 12600 64000
65 B 12800 32000
66 B 13000 32000
67 P 13200 64000
68 B 13400 32000
69 I 13600 80000
70 P 13800 64000
71 B 14000 32000
72 P 14200 64000
73 B 14400 32000
74 P 14600 64000
75 B 14800 32000
76 B 15000 32000
77 P 15200 64000
78 B 15400 32000
79 I 15600 80000
80 P 15800 64000
81 B 16000 32000
82 P 16200 64000
83 B 16400 32000
84 P 16600 64000
85 B 16800 32000
86 B 17000 32000
87 P 17200 64000
88 B 17400 32000
89 B 17600 32000
90 P 17800 64000
91 B 18000 32000
92 B 18200 32000
93 P 18400 64000
94 B 18600 32000
95 I 18800 80000
96 P 19000 64000
97 B 19200 32000
98 P 19400 64000
99 B 19600 32000
100 P 19800 64000
101 B 20000 32000
102 B 20200 32000
103 P 20400 64000
104 B 20600 32000
105 I 20800 80000
106 P 21000 64000
107 B 21200 32000
108 P 21400 64000
109 B 21600 32000
110 P 21800 64000
111 B 22000 32000
112 B 22200 32000
113 P 22400 64000
114 B 22600 32000
115 B 22800 32000
116 P 23000 64000
117 B 23200 32000
118 B 23400 32000
119 P 23600 64000
120 B 23800 32000
121 I 24000 80000
122 P 24200 64000
123 B 24400 32000
124 P 24600 64000
125 B 24800 32000
126 P 25000 64000
127 B 25200 32000
128 B 25400 32000
129 P 25600 64000
130 B 25800 32000
131 I 26000 80000
132 P 26200 64000
133 B 26400 32000
134 P 26600 64000
135 B 26800 32000
136 P 27000 64000
137 B 27200 32000
138 B 27400 32000
139 P 27600 64000
140 B 27800 32000
141 B 28000 32000
142 P 28200 64000
143 B 28400 32000
144 B 28600 32000
145 P 28800 64000
146 B 29000 32000
147 I 29200 80000
148 P 29400 64000
149 B 29600 32000
150 P 29800 64000
151 B 30000 32000
152 P 30200 64000
153 B 30400 32000
154 B 30600 32000
155 P 30800 64000
156 B 31000 32000
157 I 31200 80000
158 P 31400 64000
159 B 31600 32000
160 P 31800 64000
161 B 32000 32000
162 P 32200 64000
163 B 32400 32000
164 B 32600 32000
165 P 32800 64000
166 B 33000 32000
167 B 33200 32000
168 P 33400 64000
169 B 33600 32000
170 B 33800 32000
171 P 34000 64000
172 B 34200 32000
173 I 34400 80000
174 P 34600 64000
175 B 34800 32000
176 P 35000 64000
177 B 35200 32000
178 P 35400 64000
179 B 35600 32000
180 B 35800 32000
181 P 36000 64000
182 B 36200 32000
183 I 36400 80000
184 P 36600 64000
185 B 36800 32000
186 P 37000 64000
187 B 37200 32000
188 P 37400 64000
189 B 37600 32000
190 B 37800 32000
191 P 38000 64000
192 B 38200 32000
193 B 38400 32000
194 P 38600 64000
195 B 38800 32000
196 B 39000 32000
197 P 39200 64000
198 B 39400 32000
199 I 39600 80000
200 P 39800 64000
201 B 40000 32000
202 P 40200 64000
203 B 40400 32000
204 P 40600 64000
205 B 40800 32000
206 B 41000 32000
207 P 41200 64000
208 B 41400 32000
209 I 41600 80000
210 P 41800 64000
211 B 42000 32000
212 P 42200 64000
213 B 42400 32000
214 P 42600 64000
215 B 42800 32000
216 B 43000 32000
217 P 43200 64000
218 B 43400 32000
219 B 43600 32000
220 P 43800 64000
221 B 44000 32000
222 B 44200 32000
223 P 44400 64000
224 B 44600 32000
225 I 44800 80000
226 P 45000 64000
227 B 45200 32000
228 P 45400 64000
229 B 45600 32000
230 P 45800 64000
231 B 46000 32000
232 B 46200 32000
233 P 46400 64000
234 B 46600 32000
235 I 46800 80000
236 P 47000 64000
237 B 47200 32000
238 P 47400 64000
239 B 47600 32000
240 P 47800 64000
241 B 48000 32000
242 B 48200 32000
243 P 48400 64000
244 B 48600 32000
245 B 48800 32000
246 P 49000 64000
247 B 49200 32000
248 B 49400 32000
249 P 49600 64000
250 B 49800 32000
251 I 50000 80000
252 P 50200 64000
253 B 50400 32000
254 P 50600 64000
255 B 50800 32000
256 P 51000 64000
257 B 51200 32000
258 B 51400 32000
259 P 51600 64000
260 B 51800 32000
261 I 52000 80000
262 P 52200 64000
263 B 52400 32000
264 P 52600 64000
265 B 52800 32000
266 P 53000 64000
267 B 53200 32000
268 B 53400 32000
269 P 53600 64000
270 B 53800 32000
271 B 54000 32000
272 P 54200 64000
273 B 54400 32000
274 B 54600 32000
275 P 54800 64000
276 B 55000 32000
277 I 55200 80000
278 P 55400 64000
279 B 55600 32000
280 P 55800 64000
281 B 56000 32000
282 P 56200 64000
283 B 56400 32000
284 B 56600 32000
285 P 56800 64000
286 B 57000 32000
287 I 57200 80000
288 P 57400 64000
289 B 57600 32000
290 P 57800 64000
291 B 58000 32000
292 P 58200 64000
293 B 58400 32000
294 B 58600 32000
295 P 58800 64000
296 B 59000 32000
297 B 59200 32000
298 P 59400 64000
299 B 59600 32000
300 B 59800 32000
301 P 60000 64000
302 B 60200 32000
303 I 60400 80000
304 P 60600 64000
305 B 60800 32000
306 P 61000 64000
307 B 61200 32000
308 P 61400 64000
309 B 61600 32000
310 B 61800 32000
311 P 62000 64000
312 B 62200 32000
313 I 62400 80000
314 P 62600 64000
315 B 62800 32000
316 P 63000 64000
317 B 63200 32000
