1 I 0 240000
2 P 200 192000
3 B 400 96000
4 P 600 192000
5 B 800 96000
6 P 1000 192000
7 B 1200 96000
8 B 1400 96000
9 P 1600 192000
10 B 1800 96000
11 B 2000 96000
12 P 2200 192000
13 B 2400 96000
14 B 2600 96000
15 P 2800 192000
16 B 3000 96000
17 I 3200 240000
18 P 3400 192000
19 B 3600 96000
20 P 3800 192000
21 B 4000 96000
22 P 4200 192000
23 B 4400 96000
24 B 4600 96000
25 P 4800 192000
26 B 5000 96000
27 I 5200 240000
28 P 5400 192000
29 B 5600 96000
30 P 5800 192000
31 B 6000 96000
32 P 6200 192000
33 B 6400 96000
34 B 6600 96000
35 P 6800 192000
36 B 7000 96000
37 B 7200 96000
38 P 7400 192000
39 B 7600 96000
40 B 7800 96000
41 P 8000 192000
42 B 8200 96000
43 I 8400 240000
44 P 8600 192000
45 B 8800 96000
46 P 9000 192000
47 B 9200 96000
48 P 9400 192000
49 B 9600 96000
50 B 9800 96000
51 P 10000 192000
52 B 10200 96000
53 I 10400 240000
54 P 10600 192000
55 B 10800 96000
56 P 11000 192000
57 B 11200 96000
58 P 11400 192000
59 B 11600 96000
60 B 11800 96000
61 P 12000 192000
62 B 12200 96000
63 B 12400 96000
64 P 12600 192000
65 B 12800 96000
66 B 13000 96000
67 P 13200 192000
68 B 13400 96000
69 I 13600 240000
70 P 13800 192000
71 B 14000 96000
72 P 14200 192000
73 B 14400 96000
74 P 14600 192000
75 B 14800 96000
76 B 15000 96000
77 P 15200 192000
78 B 15400 96000
79 I 15600 240000
80 P 15800 192000
81 B 16000 96000
82 P 16200 192000
83 B 16400 96000
84 P 16600 192000
85 B 16800 96000
86 B 17000 96000
87 P 17200 192000
88 B 17400 96000
89 B 17600 96000
90 P 17800 192000
91 B 18000 96000
92 B 18200 96000
93 P 18400 192000
94 B 18600 96000
95 I 18800 240000
96 P 19000 192000
97 B 19200 96000
98 P 19400 192000
99 B 19600 96000
100 P 19800 192000
101 B 20000 96000
102 B 20200 96000
103 P 20400 192000
104 B 20600 96000
105 I 20800 240000
106 P 21000 192000
107 B 21200 96000
108 P 21400 192000
109 B 21600 96000
110 P 21800 192000
111 B 22000 96000
112 B 22200 96000
113 P 22400 192000
114 B 22600 96000
115 B 22800 96000
116 P 23000 192000
117 B 23200 96000
118 B 23400 96000
119 P 23600 192000
120 B 23800 96000
121 I 24000 240000
122 P 24200 192000
123 B 24400 96000
124 P 24600 192000
125 B 24800 96000
126 P 25000 192000
127 B 25200 96000
128 B 25400 96000
129 P 25600 192000
130 B 25800 96000
131 I 26000 240000
132 P 26200 192000
133 B 26400 96000
134 P 26600 192000
135 B 26800 96000
136 P 27000 192000
137 B 27200 96000
138 B 27400 96000
139 P 27600 192000
140 B 27800 96000
141 B 28000 96000
142 P 28200 192000
143 B 28400 96000
144 B 28600 96000
145 P 28800 192000
146 B 29000 96000
147 I 29200 240000
148 P 29400 192000
149 B 29600 96000
150 P 29800 192000
151 B 30000 96000
152 P 30200 192000
153 B 30400 96000
154 B 30600 96000
155 P 30800 192000
156 B 31000 96000
157 I 31200 240000
158 P 31400 192000
159 B 31600 96000
